Variant SKU,Image Src,Image Alt Text,Image Position,Image Command
LCW37-00-001-7,https://lux-case.com/media/catalog/product/l/c/lcw37-00-001-7.jpg; https://lux-case.com/media/catalog/product/l/c/lcw37-00-001-7-a.jpg; https://lux-case.com/media/catalog/product/l/c/lcw37-00-001-7-b.jpg; https://lux-case.com/media/catalog/product/l/c/lcw37-00-001-7-c.jpg; https://lux-case.com/media/catalog/product/l/c/lcw37-00-001-7-d.jpg,#serie_7,2,MERGE
LCW37-00-001-8,https://lux-case.com/media/catalog/product/l/c/lcw37-00-001-8.jpg; https://lux-case.com/media/catalog/product/l/c/lcw37-00-001-8-a.jpg; https://lux-case.com/media/catalog/product/l/c/lcw37-00-001-8-b.jpg; https://lux-case.com/media/catalog/product/l/c/lcw37-00-001-8-c.jpg; https://lux-case.com/media/catalog/product/l/c/lcw37-00-001-8-d.jpg,#serie_8,2,MERGE
LCW37-00-001-9,https://lux-case.com/media/catalog/product/l/c/lcw37-00-001-9.jpg; https://lux-case.com/media/catalog/product/l/c/lcw37-00-001-9-a.jpg; https://lux-case.com/media/catalog/product/l/c/lcw37-00-001-9-b.jpg; https://lux-case.com/media/catalog/product/l/c/lcw37-00-001-9-c.jpg; https://lux-case.com/media/catalog/product/l/c/lcw37-00-001-9-d.jpg,#serie_9,2,MERGE
LCW37-00-002-1,https://lux-case.com/media/catalog/product/l/c/lcw37-00-002-1.jpg; https://lux-case.com/media/catalog/product/l/c/lcw37-00-002-1-a.jpg; https://lux-case.com/media/catalog/product/l/c/lcw37-00-002-1-b.jpg; https://lux-case.com/media/catalog/product/l/c/lcw37-00-002-1-c.jpg,#serie_1,2,MERGE
LCW37-00-002-3,https://lux-case.com/media/catalog/product/l/c/lcw37-00-002-3.jpg; https://lux-case.com/media/catalog/product/l/c/lcw37-00-002-3-a.jpg; https://lux-case.com/media/catalog/product/l/c/lcw37-00-002-3-b.jpg; https://lux-case.com/media/catalog/product/l/c/lcw37-00-002-3-c.jpg,#serie_3,2,MERGE
LCW37-00-002-4,https://lux-case.com/media/catalog/product/l/c/lcw37-00-002-4.jpg; https://lux-case.com/media/catalog/product/l/c/lcw37-00-002-4-a.jpg; https://lux-case.com/media/catalog/product/l/c/lcw37-00-002-4-b.jpg; https://lux-case.com/media/catalog/product/l/c/lcw37-00-002-4-c.jpg,#serie_4,2,MERGE
LCW37-00-002-5,https://lux-case.com/media/catalog/product/l/c/lcw37-00-002-5.jpg; https://lux-case.com/media/catalog/product/l/c/lcw37-00-002-5-a.jpg; https://lux-case.com/media/catalog/product/l/c/lcw37-00-002-5-b.jpg; https://lux-case.com/media/catalog/product/l/c/lcw37-00-002-5-c.jpg,#serie_5,2,MERGE
LCW37-00-002-6,https://lux-case.com/media/catalog/product/l/c/lcw37-00-002-6.jpg; https://lux-case.com/media/catalog/product/l/c/lcw37-00-002-6-a.jpg; https://lux-case.com/media/catalog/product/l/c/lcw37-00-002-6-b.jpg; https://lux-case.com/media/catalog/product/l/c/lcw37-00-002-6-c.jpg,#serie_6,2,MERGE
LCW37-00-002-7,https://lux-case.com/media/catalog/product/l/c/lcw37-00-002-7.jpg; https://lux-case.com/media/catalog/product/l/c/lcw37-00-002-7-a.jpg; https://lux-case.com/media/catalog/product/l/c/lcw37-00-002-7-b.jpg; https://lux-case.com/media/catalog/product/l/c/lcw37-00-002-7-c.jpg,#serie_7,2,MERGE
LCW37-00-002-8,https://lux-case.com/media/catalog/product/l/c/lcw37-00-002-8.jpg; https://lux-case.com/media/catalog/product/l/c/lcw37-00-002-8-a.jpg; https://lux-case.com/media/catalog/product/l/c/lcw37-00-002-8-b.jpg; https://lux-case.com/media/catalog/product/l/c/lcw37-00-002-8-c.jpg,#serie_8,2,MERGE
