Variant SKU,Image Src,Image Alt Text,Image Position,Image Command
LCW45-10-004-4,https://lux-case.com/media/catalog/product/l/c/lcw45-10-004-4.jpg; https://lux-case.com/media/catalog/product/l/c/lcw45-10-004-4-a.jpg; https://lux-case.com/media/catalog/product/l/c/lcw45-10-004-4-b.jpg; https://lux-case.com/media/catalog/product/l/c/lcw45-10-004-4-c.jpg; https://lux-case.com/media/catalog/product/l/c/lcw45-10-004-4-d.jpg; https://lux-case.com/media/catalog/product/l/c/lcw45-10-004-4-e.jpg,#serie_4,2,MERGE
LCW45-10-004-2,https://lux-case.com/media/catalog/product/l/c/lcw45-10-004-2.jpg; https://lux-case.com/media/catalog/product/l/c/lcw45-10-004-2-a.jpg; https://lux-case.com/media/catalog/product/l/c/lcw45-10-004-2-b.jpg; https://lux-case.com/media/catalog/product/l/c/lcw45-10-004-2-c.jpg; https://lux-case.com/media/catalog/product/l/c/lcw45-10-004-2-d.jpg; https://lux-case.com/media/catalog/product/l/c/lcw45-10-004-2-e.jpg,#serie_2,2,MERGE
LCW45-10-004-5,https://lux-case.com/media/catalog/product/l/c/lcw45-10-004-5.jpg; https://lux-case.com/media/catalog/product/l/c/lcw45-10-004-5-a.jpg; https://lux-case.com/media/catalog/product/l/c/lcw45-10-004-5-b.jpg; https://lux-case.com/media/catalog/product/l/c/lcw45-10-004-5-c.jpg; https://lux-case.com/media/catalog/product/l/c/lcw45-10-004-5-d.jpg; https://lux-case.com/media/catalog/product/l/c/lcw45-10-004-5-e.jpg,#serie_5,2,MERGE
LCW45-11-003-4,https://lux-case.com/media/catalog/product/l/c/lcw45-11-003-4_89.jpg; https://lux-case.com/media/catalog/product/l/c/lcw45-11-003-4-a_58.jpg; https://lux-case.com/media/catalog/product/l/c/lcw45-11-003-4-b_59.jpg; https://lux-case.com/media/catalog/product/l/c/lcw45-11-003-4-c_60.jpg; https://lux-case.com/media/catalog/product/l/c/lcw45-11-003-4-d_61.jpg; https://lux-case.com/media/catalog/product/l/c/lcw45-11-003-4-e_62.jpg; https://lux-case.com/media/catalog/product/l/c/lcw45-11-003-4-f_63.jpg; https://lux-case.com/media/catalog/product/l/c/lcw45-11-003-4-g_64.jpg,#serie_4,2,MERGE
LCW45-11-003-1,https://lux-case.com/media/catalog/product/l/c/lcw45-11-003-1_86.jpg; https://lux-case.com/media/catalog/product/l/c/lcw45-11-003-1-a_39.jpg; https://lux-case.com/media/catalog/product/l/c/lcw45-11-003-1-b_40.jpg; https://lux-case.com/media/catalog/product/l/c/lcw45-11-003-1-c_41.jpg; https://lux-case.com/media/catalog/product/l/c/lcw45-11-003-1-d_42.jpg; https://lux-case.com/media/catalog/product/l/c/lcw45-11-003-1-e_43.jpg; https://lux-case.com/media/catalog/product/l/c/lcw45-11-003-1-f_44.jpg; https://lux-case.com/media/catalog/product/l/c/lcw45-11-003-1-g_45.jpg,#serie_1,2,MERGE
LCW45-11-003-3,https://lux-case.com/media/catalog/product/l/c/lcw45-11-003-3_88.jpg; https://lux-case.com/media/catalog/product/l/c/lcw45-11-003-3-a_52.jpg; https://lux-case.com/media/catalog/product/l/c/lcw45-11-003-3-b_53.jpg; https://lux-case.com/media/catalog/product/l/c/lcw45-11-003-3-c_54.jpg; https://lux-case.com/media/catalog/product/l/c/lcw45-11-003-3-d_55.jpg; https://lux-case.com/media/catalog/product/l/c/lcw45-11-003-3-e_56.jpg; https://lux-case.com/media/catalog/product/l/c/lcw45-11-003-3-f_57.jpg,#serie_3,2,MERGE
LCW45-11-003-5,https://lux-case.com/media/catalog/product/l/c/lcw45-11-003-5_90.jpg; https://lux-case.com/media/catalog/product/l/c/lcw45-11-003-5-a_65.jpg; https://lux-case.com/media/catalog/product/l/c/lcw45-11-003-5-b_66.jpg; https://lux-case.com/media/catalog/product/l/c/lcw45-11-003-5-c_67.jpg; https://lux-case.com/media/catalog/product/l/c/lcw45-11-003-5-d_68.jpg; https://lux-case.com/media/catalog/product/l/c/lcw45-11-003-5-e_69.jpg; https://lux-case.com/media/catalog/product/l/c/lcw45-11-003-5-f_70.jpg,#serie_5,2,MERGE
LCW45-11-003-2,https://lux-case.com/media/catalog/product/l/c/lcw45-11-003-2_87.jpg; https://lux-case.com/media/catalog/product/l/c/lcw45-11-003-2-a_46.jpg; https://lux-case.com/media/catalog/product/l/c/lcw45-11-003-2-b_47.jpg; https://lux-case.com/media/catalog/product/l/c/lcw45-11-003-2-c_48.jpg; https://lux-case.com/media/catalog/product/l/c/lcw45-11-003-2-d_49.jpg; https://lux-case.com/media/catalog/product/l/c/lcw45-11-003-2-e_50.jpg; https://lux-case.com/media/catalog/product/l/c/lcw45-11-003-2-f_51.jpg,#serie_2,2,MERGE
LCW45-39-004-1,https://lux-case.com/media/catalog/product/l/c/lcw45-39-004-1.jpg; https://lux-case.com/media/catalog/product/l/c/lcw45-39-004-1-b.jpg; https://lux-case.com/media/catalog/product/l/c/lcw45-39-004-1-c.jpg; https://lux-case.com/media/catalog/product/l/c/lcw45-39-004-1-d.jpg; https://lux-case.com/media/catalog/product/l/c/lcw45-39-004-1-e.jpg,#serie_1,2,MERGE
LCW45-39-004-2,https://lux-case.com/media/catalog/product/l/c/lcw45-39-004-2.jpg; https://lux-case.com/media/catalog/product/l/c/lcw45-39-004-2-b.jpg; https://lux-case.com/media/catalog/product/l/c/lcw45-39-004-2-c.jpg; https://lux-case.com/media/catalog/product/l/c/lcw45-39-004-2-d.jpg; https://lux-case.com/media/catalog/product/l/c/lcw45-39-004-2-e.jpg,#serie_2,2,MERGE
