Handle,Command,Title,Body HTML,Must Match,Rule: Product Column,Rule: Relation,Rule: Condition,Metafield: title_tag [string],Metafield: description_tag [string],Template Suffix,Metafield: custom.belongs_to [single_line_text_field],Metafield: custom.bottom_description [multi_line_text_field]
amazfit-bip-3,Merge,Amazfit Bip 3,"Her har du hele vores udvalg af remme til Amazfit Bip 3. Med en ny urrem kan du gøre dit smartwatch mere personlig. De er nemme at udskifte, så du kan også fylde skuffen med forskellige urremme og udskifte dem efter behov. Køber du får mere end 199,- så leverer vi kvit og frit.",all conditions,Tag,Equals,Amazfit Bip 3,Amazfit Bip 3 Remme | Mægtigt Udvalg af Urremme til Amazfit Bip 3,Ny Amazfit Bip 3 rem? Så er dette stedet for dig! Vi har det største udvalg i Danmark. Hurtig Levering.,,Amazfit Bip,"<h2>Amazfit Bip 3 Rem</h2><p>Velkommen til din nye Amazfit Bip 3 rem, som du har ledt efter! Vores lager er fyldt med remme til Amazfit Bip 3 i alle slags farver og materialer, så har du rig mulighed for at finde lige den urrem som passer til dig, dit håndled, ur og dagligdag. Du finder urremme i forskellige materialer og farver, som gør at du kan finde en urrem, der passer til din dag, uanset om det er en ganske almindelig dag, eller det er en særlig begivenhed. 
Hvis du mangler en erstatningsrem til dit smartwatch i tilfælde af, at din nuværende rem bliver for slidt, så har vi også en lange rækkke billige Amazfit Bip 3 remme, som er klar til at blive sendt hjem til dig i dag. Velkommen til danmarks største udvalg af Amazfit Bip 3 remme!</p>"
amazfit-bip-3,Merge,,,,Variant Inventory,Greater Than,0,,,,,
amazfit-bip-3-pro,Merge,Amazfit Bip 3 Pro,"Leder du efter en ny Amazfit Bip 3 Pro urrem? Så er du kommet til det rigtige sted! Vi har et hav af remme. Du finder <b>Danmarks største udvalg</b>, til at priser der er til at betale. Køb netop den rem, der passer perfekt ind til din livsstil. Husk at fylder du kurven for mere end 199KR, så betaler vi forsendelsen.",all conditions,Tag,Equals,Amazfit Bip 3 Pro,Amazfit Bip 3 Pro Remme | Gigantisk Udvalg,"Uremme til Amazfit Bip 3 Pro hos Danmarks Største Udvalg. Bestil inden. Kl 15 og vi sender i Dag. Køb for mere end 199,- og du får Gratis Fragt.",,Amazfit Bip,"<h2>Amazfit Bip 3 Pro Urrem</h2><p>Hvis det er på tide at udskifte din nuværende Amazfit Bip 3 Pro urrem, så er du havnet det rigtige sted. Her har du nemlig et hav af muligheder, for at give dit smartwatch et helt nyt look.
Hvad enten du skal bruge dit ur til festlige begivenheder, til hverdag eller sport. Vores lager er fyldt med remme til Amazfit Bip 3 Pro i mange forskellige farver og materialer, så du har rig mulighed for at finde netop den rem, som du måtte mangle. Husk at hvis du køber for mere end 199kr, betaler vi fragten. Så hvorfor ikke købe en ekstra? Så har du flere forskellige urremme, som du kan skifte efter behov.</p>"
amazfit-bip-3-pro,Merge,,,,Variant Inventory,Greater Than,0,,,,,
amazfit-bip-lite,Merge,Amazfit Bip Lite,"De bedste urremme til Amazfit Bip Lite. Mangler du en ny rem til løbeturen eller når du skal til møde? Vi tilbyder alle slags remme, der passer til dig og dit smartwatch. <b>Gratis Fragt</b> ved køb for mere end 199kr.",all conditions,Tag,Equals,Amazfit Bip Lite,"Amazfit Bip Lite Remme | Hurtig & Gratis Levering over 199,-",Ny Amazfit Bip Lite rem? Så er dette stedet for dig! Vi har det største udvalg i Danmark. Hurtig Levering.,,Amazfit Bip,"<h2>Rem til Amazfit Bip Lite</h2><p>Hvis du klikker rundt og leder efter en ny rem til Amazfit Bip Lite, så kan du stoppe klikkeriet nu. Du er nemlig landet på danmarks største udvalg af smartwatch urremme, så du kan helt sikkert finde netop den urrem, som du drømmer om.
Vores remme til Amazfit Bip Lite kan fås i mange forskellige materialer, som f.eks metal, læder eller stof. Der er mange muligheder for at give dit ur et helt nyt look og det kan endda føles som om du har fået et helt nyt smartwatch i hånden, når du også får en ny rem på.
Remmene du finder på vores side er til billige priser, så du får værdi for pengene. Køber du for mere end 199 kroner, så får du leveringen betalt af os.</p>"
amazfit-bip-lite,Merge,,,,Variant Inventory,Greater Than,0,,,,,
amazfit-bip-s,Merge,Amazfit Bip S,"Her har du hele vores udvalg af remme til Amazfit Bip S. Med en ny urrem kan du gøre dit smartwatch mere personlig. De er nemme at udskifte, så du kan også fylde skuffen med forskellige urremme og udskifte dem efter behov. Køber du får mere end 199,- så leverer vi kvit og frit.",all conditions,Tag,Equals,Amazfit Bip S,Amazfit Bip S Remme | Bedste Udvalg i Danmark,Ny Amazfit Bip S rem? Så er dette stedet for dig! Vi har det største udvalg i Danmark. Hurtig Levering.,,Amazfit Bip,"<h2>Amazfit Bip S Urrem</h2><p>Er du på udkig efter en ny Amazfit Bip S urrem? Den gamle holder måske ikke længere, og du mangler en erstatningsrem? Det kan selvfølgelig også være at du har lyst til at have nogle ekstra urremme liggende.
Uanset hvad så har vi et stort sortiment af Amazfit Bip S urremme, så du kan finde netop den rem, som passer til din dag og smartwatch.
Du finder vores remme i mange forskellige farver og materialer, alle sammen ligger klar til at blive sendt direkte hjem til dig.
</p>"
amazfit-bip-s,Merge,,,,Variant Inventory,Greater Than,0,,,,,
amazfit-bip-u,Merge,Amazfit Bip U,Mangler du en ny Amazfit Bip U urrem? Så kan vi hjælpe dig. Vi har det største udvalg af urremme i Danmark.,all conditions,Tag,Equals,Amazfit Bip U,Amazfit Bip U Urremme | Køb ny rem til Amazfit Bip U Her,Stort Sortiment af Amazfit Bip U Urremme. Hurtig Levering. Bedste udvalg og høj service. Find din nye rem i dag.,,Amazfit Bip,"<h2>Remme til Amazfit Bip U</h2><p>Velkommen til et stort udvalg af remme til Amazfit Bip U. Vi har lige den urrem, som du mangler til dit smartwatch.
Mange af de urremme du kan se her på siden er universelle remme, så de passer til dit ur og mange andre. Vores urremme har en perfekt pasform til dit ur.
Vi har sat vores priser ned, så du kan finde en <b>billig Amazfit Bip U rem</b>, det betyder også at du har rig mulighed for at købe flere, så du også kan få gratis fragt med i købet.</p>"
amazfit-bip-u,Merge,,,,Variant Inventory,Greater Than,0,,,,,
amazfit-cor,Merge,Amazfit Cor,"Vi har altid den urrem, som du mangler til Amazfit Cor. Bestiller du får mere end 199kr, så <b>betaler vi fragten</b>. Så fyld kurven op! Går du til kassen inden kl. 15, så sender vi din ordre afsted samme dag.",all conditions,Tag,Equals,Amazfit Cor,"Amazfit Cor Remme | Fri Levering over 199,-",Stort Sortiment af Amazfit Cor Urremme. Hurtig Levering. Bedste udvalg og høj service. Find din nye rem i dag.,,Amazfit,"<h2>Rem til Amazfit Cor</h2><p>Hvis du klikker rundt og leder efter en ny rem til Amazfit Cor, så kan du stoppe klikkeriet nu. Du er nemlig landet på danmarks største udvalg af smartwatch urremme, så du kan helt sikkert finde netop den urrem, som du drømmer om.
Vores remme til Amazfit Cor kan fås i mange forskellige materialer, som f.eks metal, læder eller stof. Der er mange muligheder for at give dit ur et helt nyt look og det kan endda føles som om du har fået et helt nyt smartwatch i hånden, når du også får en ny rem på.
Remmene du finder på vores side er til billige priser, så du får værdi for pengene. Køber du for mere end 199 kroner, så får du leveringen betalt af os.</p>"
amazfit-cor,Merge,,,,Variant Inventory,Greater Than,0,,,,,
amazfit-gtr-2,Merge,Amazfit GTR 2,Gør dit Amazfit GTR 2 ur mere personlig med et ny rem. Vi har et stort udvalg af alle slags urremme med perfekt pasform.,all conditions,Tag,Equals,Amazfit GTR 2,Amazfit GTR 2 Remme | Bedste Udvalg i Danmark,"Mangler du en ny Amazfit GTR 2 urrem? Her finder du et stort udvalg af alle slags remme. GRATIS fragt ved køb over 199,-",,Amazfit GTR,"<h2>Urremme til Amazfit GTR 2</h2><p>Velkommen til danmarks største udvalg af <b>urremme til Amazfit GTR 2</b>. Vi har vores varehus proppet med alle slage remme, som du kan bestille i dag.
Vi har både elegante remme i metal eller læder, der passer til hverdagen og vi har bløde silikone urremme, der passer til den aktive livsstil.
Fælles for dem alle er at det er til billige priser, der er til at betale. Alle vores uremme er også nemme at skifte.</p>"
amazfit-gtr-2,Merge,,,,Variant Inventory,Greater Than,0,,,,,
